" NLC Code"," Entries Standard"," Entries Reduced"," Entries Season",Total Entries," Exits Standard"," Exits Reduced"," Exits Season",Total Exits," All Entries & Exits 0506",All Entires & Exits 0405,05/06 Interchanges
8045,315,662,86.3,1063.3,314,662,86.3,1062.3,2125.6,2043,
9963,5254.5,903,0,6157.5,2105.5,908,0,3013.5,9171,7998,
5251,18464,59648,41083.905,119195.905,21280,58799,41083.905,121162.905,240358.81,233284,
5666,134517.9413,125532.9656,133941.15138,393992.05828,133449.9705,127655.9656,133941.15138,395047.08748,789039.14576,939510,213901
3003,775,143,599.75,1517.75,658,155,599.75,1412.75,2930.5,2534,
5641,29693,39551,42512.995,111756.995,23082,47115,42512.995,112709.995,224466.99,215700,22042
5547,42887,52651,102083.11875,197621.11875,45666,52917,102083.11875,200666.11875,398287.2375,395265,109546
2941,7764,11810,6423.385,25997.385,9962,10237,6423.385,26622.385,52619.77,55946,
4700,12973,10147,4536.275,27656.275,14078,10242,4536.275,28856.275,56512.55,47501,
9953,8733,6924,2455.13,18112.13,11243,6925,2455.13,20623.13,38735.26,39944,
5004,242104,385766,580035.3949,1207905.3949,246999,373599,580035.3949,1200633.3949,2408538.7898,2286350,310625
5667,80163.0725,85866.0315,155554.04818,321583.15218,79266.0465,85728.0315,155554.04818,320548.12618,642131.27837,610706,
2850,760,1052,184.05,1996.05,1060,1060,184.05,2304.05,4300.1,3378,
5347,95329.899,116775.9069,223878.54413,435984.35003,97358.9341,116914.9118,223878.54413,438152.39003,874136.74005,830308,
2790,35686,97997,36148.85,169831.85,30212,101800,36148.85,168160.85,337992.7,324797,
5398,759,1299,3203.36,5261.36,1096,1270,3203.36,5569.36,10830.72,6572,
6083,9194,5997,32213.545,47404.545,10687,6147,32213.545,49047.545,96452.09,98481,
1953,4516,9136,10129.175,23781.175,4914,10482,10129.175,25525.175,49306.35,46956,
6233,5224,1745,2135.1,9104.1,5442,1857,2135.1,9434.1,18538.2,16064,
2095,7810,625,2157,10592,8471,624,2157,11252,21844,18259,
1380,1078,3326,1386.03,5790.03,1340,3400,1386.03,6126.03,11916.06,11202,
1004,32706,46366,310.525,79382.525,36856,46352,310.525,83518.525,162901.05,162092,16770
1074,380,250,0,630,526,269,0,795,1425,1658,
2584,27208,66175,20008.425,113391.425,20441,71880,20008.425,112329.425,225720.85,200086,
8608,140,68,0,208,125,65,0,190,398,325,
1624,8175,1107,2357.68,11639.68,9623,1136,2357.68,13116.68,24756.36,26797,
7367,15746,35566,17187.225,68499.225,16647,36919,17187.225,70753.225,139252.45,133370,
9457,7677,7963,2530.08,18170.08,9144,7929,2530.08,19603.08,37773.16,35915,
7017,61800,88493,207520.26,357813.26,66908,88815,207520.26,363243.26,721056.52,751265,2677
2215,13548,23073,3089.09,39710.09,17137,23076,3089.09,43302.09,83012.18,86413,
8610,19060,26289,214.8,45563.8,19395,26282,214.8,45891.8,91455.6,80977,58
3265,2736,2020,672.125,5428.125,2506,2018,672.125,5196.125,10624.25,8428,
3200,13275,2109,6637.055,22021.055,12570,2137,6637.055,21344.055,43365.11,33815,
5714,17098,62695,7140.65,86933.65,17733,64463,7140.65,89336.65,176270.3,181586,
1492,138150,200986,181433.655,520569.655,145169,201759,181433.655,528361.655,1048931.31,1101302,3015
5162,16778,10902,12812.925,40492.925,18757,11155,12812.925,42724.925,83217.85,62484,
5197,11434,18355,13794.61,43583.61,13003,19377,13794.61,46174.61,89758.22,78255,
9463,282231,269759,133909.245,685899.245,276400,269307,133909.245,679616.245,1365515.49,1256522,30571
2187,10626,14808,2368.275,27802.275,15434,14825,2368.275,32627.275,60429.55,58283,
4186,2022,1930,952.325,4904.325,2383,1929,952.325,5264.325,10168.65,10810,
5681,17657,14635,16929.855,49221.855,20780,15330,16929.855,53039.855,102261.71,95357,
8552,41497,30629,10703.875,82829.875,54263,31795,10703.875,96761.875,179591.75,170826,
9763,10105,7565,6154.135,23824.135,13006,7566,6154.135,26726.135,50550.27,48120,
5492,7670,12409,33877.85,53956.85,8779,13134,33877.85,55790.85,109747.7,102564,
6084,46384,58397,84554.55,189335.55,52951,59509,84554.55,197014.55,386350.1,377278,
5399,306520.3429,319357.6377,994436.69936,1620314.67996,302993.0041,318621.9953,994436.69936,1616051.69876,3236366.3787,3161416,117485
9862,82014,96161,97727.28,275902.28,82553,96160,97727.28,276440.28,552342.56,486973,
9013,15,236,248.25,499.25,9,236,248.25,493.25,992.5,136,
2561,26350,2453,3996.2,32799.2,25470,2460,3996.2,31926.2,64725.4,66867,
2820,4550,4178,588.425,9316.425,4533,4183,588.425,9304.425,18620.85,16618,
8839,614,638,0,1252,799,637,0,1436,2688,2514,
4502,154665,276816,156253.005,587734.005,147963,282118,156253.005,586334.005,1174068.01,1137434,346608
2471,55329,180375,34959.39,270663.39,51443,180445,34959.39,266847.39,537510.78,534185,318
2238,18919,16681,0,35600,22351,16673,0,39024,74624,71052,
5348,4781,3677,37441.675,45899.675,9055,3777,37441.675,50273.675,96173.35,93069,
9466,20762,15838,16365.325,52965.325,25669,15837,16365.325,57871.325,110836.65,106653,
7563,859,696,429.855,1984.855,735,698,429.855,1862.855,3847.71,4362,
2690,43144,3818,9981.975,56943.975,46837,3813,9981.975,60631.975,117575.95,116597,
9764,12247,9073,11768.935,33088.935,12816,9072,11768.935,33656.935,66745.87,58663,
4011,14754,38133,13973.77,66860.77,14072,38127,13973.77,66172.77,133033.54,148448,
7492,738241.7921,466086.9844,1460514.8318,2664843.6083,317557.4805,465583.2463,1460514.8318,2243655.5586,4908499.167,5121894,86333
1279,64,211,219.95,494.95,175,223,219.95,617.95,1112.9,1849,
5133,10928,9866,38998.64,59792.64,13272,9197,38998.64,61467.64,121260.28,116214,
4445,10350,37684,33661.705,81695.705,6704,37689,33661.705,78054.705,159750.41,162219,
5089,89157.0294,74125,433290.61938,596572.64878,72221.1029,74324,433290.61938,579835.72228,1176408.3711,1224619,
5551,112156.3424,108235.8591,204976.21304,425368.41454,110335.8192,107967.874,204976.21304,423279.90624,848648.32078,843780,2944
5580,21023.8067,22277.8817,22655.688597,65957.376997,32782.861,22375.8929,22655.688597,77814.442497,143771.81949,118487,
6406,6955,14471,3237.925,24663.925,7919,14893,3237.925,26049.925,50713.85,47280,2312
5252,71989,125956,194844.345,392789.345,70798,122992,194844.345,388634.345,781423.69,742799,654375
9973,15399,9582,3048.525,28029.525,13554,9584,3048.525,26186.525,54216.05,45594,
6774,165071.5,249666,26202.27,440939.77,159074.5,241584,26202.27,426860.77,867800.54,783481,8524
5725,13195,83536,8315.625,105046.625,13692,83792,8315.625,105799.625,210846.25,194474,
1096,36423,23164,11772.745,71359.745,47622,23290,11772.745,82684.745,154044.49,127723,15234
9674,92024,73183,86248.02,251455.02,100186,73184,86248.02,259618.02,511073.04,472629,
9467,1193,902,294.175,2389.175,1767,902,294.175,2963.175,5352.35,5591,
6212,1039,172,256.145,1467.145,1429,172,256.145,1857.145,3324.29,3521,
1954,72787,127234,54662,254683,69220,125326,54662,249208,503891,508430,16911
1903,10862,6935,7550.415,25347.415,10154,6912,7550.415,24616.415,49963.83,45241,
3805,68354,99510,58767.04,226631.04,66110,99656,58767.04,224533.04,451164.08,425166,
3806,12308,16731,4080.125,33119.125,14277,16752,4080.125,35109.125,68228.25,50492,
3807,66948,143231,80339.805,290518.805,70391,143224,80339.805,293954.805,584473.61,626912,
9020,11,1,0,12,15,1,0,16,28,26,
6207,14734,4953,1222.495,20909.495,14405,4955,1222.495,20582.495,41491.99,45325,
7494,277741,286035,514429.185,1078205.185,281369,286302,514429.185,1082100.185,2160305.37,2117293,
5520,472431,788322,821885.13,2082638.13,473489,783692,821885.13,2079066.13,4161704.26,4084424,667850
5090,5284,6711,19326.975,31321.975,13930,7007,19326.975,40263.975,71585.95,68671,
3271,515383,1072979,371008.945,1959370.945,509628,1065136,371008.945,1945772.945,3905143.89,3726900,91434
9311,122995,101887,91039.49,315921.49,134480,103989,91039.49,329508.49,645429.98,627122,
8484,31314,27823,6587.29,65724.29,37690,28194,6587.29,72471.29,138195.58,122371,
7909,194,635,10.3,839.3,167,636,10.3,813.3,1652.6,1591,
5420,106917.4563,118390.4776,248485.86193,473793.79583,133589.7382,117787.5084,248485.86193,499863.10853,973656.90435,947543,8525
5215,34938,88859,124528.75,248325.75,37740,86159,124528.75,248427.75,496753.5,488983,
6870,988,1207,1112.575,3307.575,1489,1220,1112.575,3821.575,7129.15,8541,
6006,1705,2348,5822.13,9875.13,5187,2454,5822.13,13463.13,23338.26,23023,
3047,104188,156560,228022.105,488770.105,107886,157033,228022.105,492941.105,981711.21,1085861,
2420,345,273,225.435,843.435,314,275,225.435,814.435,1657.87,1462,
9966,83107,54627,49106.94,186840.94,87788,54624,49106.94,191518.94,378359.88,324602,
5091,22777,35446,104774.59,162997.59,25011,34674,104774.59,164459.59,327457.18,317160,
8822,82,35,0,117,112,35,0,147,264,349,
5890,558,616,61.8,1235.8,509,628,61.8,1198.8,2434.6,3114,
8877,6903,407,146.225,7456.225,6868,13914,146.225,20928.225,28384.45,26616,
2188,107308,111559,1224.55,220091.55,112423,111586,1224.55,225233.55,445325.1,434248,
7258,10707,13445,2045.125,26197.125,9491,19557,2045.125,31093.125,57290.25,59686,
5076,16856.4741,10717.3751,49998.675184,77572.524384,13671.5315,10772.3751,49998.675184,74442.581784,152015.10617,140899,
5046,143247.3691,172896.804,618142.66347,934286.83657,138564.2678,173286.804,618142.66347,929993.73527,1864280.5718,1760816,50508
1512,164742,524371,715547.25,1404660.25,167849,540581,715547.25,1423977.25,2828637.5,2770367,63382
1510,31,52,51.5,134.5,122,53,51.5,226.5,361,470,
5538,19877,14156,14209.94,48242.94,21861,14447,14209.94,50517.94,98760.88,96397,
3245,11084,3865,5098.175,20047.175,11903,3869,5098.175,20870.175,40917.35,32489,
1165,5387,1067,605.675,7059.675,6679,1103,605.675,8387.675,15447.35,7274,
3070,8553,17314,10977.495,36844.495,8419,18532,10977.495,37928.495,74772.99,78439,
1625,93239,45604,30388.79,169231.79,92490,45037,30388.79,167915.79,337147.58,330651,3371
5198,4116,7016,7956.69,19088.69,5093,7002,7956.69,20051.69,39140.38,35386,
2785,987,3272,457.125,4716.125,1464,3501,457.125,5422.125,10138.25,8460,
9895,78891,62423,23881.055,165195.055,78763,62468,23881.055,165112.055,330307.11,275448,11848
5062,32791.1456,33536.3976,178887.23945,245214.78265,26874.1875,33409.3976,178887.23945,239170.82455,484385.6072,464090,
9714,96620,76333,81194.765,254147.765,103212,76345,81194.765,260751.765,514899.53,468717,8311
5350,6873.351,4714,17055.785442,28643.136442,7249.134,4740,17055.785442,29044.919442,57688.055883,50732,
1679,15397,14100,6697.99,36194.99,17252,14304,6697.99,38253.99,74448.98,77856,186
5227,720,761,1735.485,3216.485,1236,776,1735.485,3747.485,6963.97,6154,
5092,40287.0944,32971,155444.98454,228703.07894,34520.269,33167,155444.98454,223132.25354,451835.33248,463375,
8047,1789,2093,1191.65,5073.65,1824,2094,1191.65,5109.65,10183.3,10818,
8564,25843,32942,3150.225,61935.225,26950,32420,3150.225,62520.225,124455.45,126351,
7439,289458,259240,674370.33,1223068.33,291955,259504,674370.33,1225829.33,2448897.66,2447625,
2676,5871,1297,723.07,7891.07,6017,1293,723.07,8033.07,15924.14,15449,
5624,8984,9831,27246.51,46061.51,10277,10004,27246.51,47527.51,93589.02,87973,
8352,35089,22253,6856.965,64198.965,30556,21680,6856.965,59092.965,123291.93,114419,
3549,5732,6946,770.89,13448.89,6100,6943,770.89,13813.89,27262.78,29552,
3550,1883,3582,150.4,5615.4,2101,3592,150.4,5843.4,11458.8,12862,
1390,146555,189391,284225.4,620171.4,147668,196079,284225.4,627972.4,1248143.8,1116767,
1045,23760,29563,998.26,54321.26,23386,29629,998.26,54013.26,108334.52,99071,
7330,266,128,10.3,404.3,349,132,10.3,491.3,895.6,806,
8431,4918,3927,310.025,9155.025,5733,4108,310.025,10151.025,19306.05,19572,
5581,20244.2135,19055.0172,43234.662759,82533.893459,29604.7502,19091.0172,43234.662759,91930.430159,174464.32362,191698,
5323,5768,16794,21263.715,43825.715,6069,17488,21263.715,44820.715,88646.43,87086,
7791,22033,150222,25513.825,197768.825,21683,150034,25513.825,197230.825,394999.65,378727,2030
2351,922,717,91.825,1730.825,708,722,91.825,1521.825,3252.65,2802,
1003,7967,14833,542.795,23342.795,7794,14764,542.795,23100.795,46443.59,46963,
5472,2156,1385,3106.6,6647.6,2184,1672,3106.6,6962.6,13610.2,12214,
6961,32937.5115,33077.2382,139627.46202,205642.21172,66792.6463,33443.2382,139627.46202,239863.34652,445505.55825,448364,
2449,10286,2583,41.2,12910.2,10443,2653,41.2,13137.2,26047.4,26206,
8048,70007,104153,126294.935,300454.935,73867,104266,126294.935,304427.935,604882.87,590634,100
5211,74543,175278,253454.21,503275.21,73039,180023,253454.21,506516.21,1009791.42,941613,
5093,78038.0752,73659,292194.22541,443891.30061,78098.2632,73994,292194.22541,444286.48861,888177.78923,887780,
5094,164231.1743,141752.57,830604.92454,1136588.66884,150150.7632,142285.53,830604.92454,1123041.21774,2259629.8866,2241474,
3048,57109,150578,126948.14,334635.14,60245,151836,126948.14,339029.14,673664.28,702998,
3104,6306,6052,11838.32,24196.32,6403,6247,11838.32,24488.32,48684.64,50197,
5063,53738.8829,45243.4612,193215.50479,292197.84889,50708.7159,45332.4612,193215.50479,289256.68189,581454.53077,595914,1533
2136,25428,23842,378.675,49648.675,25933,23838,378.675,50149.675,99798.35,95455,60291
6170,54863,99054,169832.12,323749.12,59379,100912,169832.12,330123.12,653872.24,638358,
4618,6331,3842,4099.115,14272.115,5869,3856,4099.115,13824.115,28096.23,21318,
6871,198776,231368,951192.615,1381336.615,202437,231968,951192.615,1385597.615,2766934.23,2698460,
7910,11679,11192,4232.31,27103.31,13229,11186,4232.31,28647.31,55750.62,43972,
5464,29116,59886,98800.005,187802.005,28522,60381,98800.005,187703.005,375505.01,356015,
6235,8057,2525,1927.735,12509.735,9108,2589,1927.735,13624.735,26134.47,28053,
8553,149238,164995,29603.165,343836.165,153274,165455,29603.165,348332.165,692168.33,646309,
3907,1440,1514,1538.8,4492.8,2114,1508,1538.8,5160.8,9653.6,10785,
5163,15738.96,30073.23,79275.6158,125087.8058,16379.21,29461.24,79275.6158,125116.0658,250203.8716,229263,
2304,105716,66424,47434.195,219574.195,100876,66422,47434.195,214732.195,434306.39,366301,
5401,2731.416,2188.288,5665.16576,10584.86976,3192.728,2199.288,5665.16576,11057.18176,21642.05152,21893,
2352,57821,67233,1219.04,126273.04,61698,67234,1219.04,130151.04,256424.08,251641,
2217,86104,137860,2717.54,226681.54,72353,137991,2717.54,213061.54,439743.08,411631,
2219,343192,279083,5185.2,627460.2,327146,278741,5185.2,611072.2,1238532.4,1146052,78326
2145,57019,78516,1021.945,136556.945,63985,78496,1021.945,143502.945,280059.89,251957,20729
2220,97965,98418,2327.71,198710.71,110259,98418,2327.71,211004.71,409715.42,495994,
4513,86,1625,0,1711,206,1634,0,1840,3551,9981,
1215,470391,589608,62482.575,1122481.575,449229,567157,62482.575,1078868.575,2201350.15,1946537,44293
4515,77913,80290,1153.05,159356.05,9986,75133,1153.05,86272.05,245628.1,161187,203622
1127,2705533,5450643,431648.885,8587824.885,2858203,5425492,431648.885,8715343.885,17303168.77,16243912,2965256
1006,113679,82070,2956.8,198705.8,13623,78502,2956.8,95081.8,293787.6,295937,304042
7835,17360,17251,2280.485,36891.485,17625,17295,2280.485,37200.485,74091.97,66681,
9940,77855,122776,64707.6,265338.6,99054,110971,64707.6,274732.6,540071.2,503303,
6800,196635,297213,595297.475,1089145.475,201544,294988,595297.475,1091829.475,2180974.95,2215843,47463
5402,1361,5162,2161.005,8684.005,1256,5998,2161.005,9415.005,18099.01,17128,
9620,90771,70088,87814.245,248673.245,97375,70093,87814.245,255282.245,503955.49,470520,
5945,8550,6157,8233.165,22940.165,9067,6237,8233.165,23537.165,46477.33,47315,
2737,209484,210672,68124.64,488280.64,212513,213437,68124.64,494074.64,982355.28,930144,48744
5112,421742.825,605421.63,3047520.2669,4074684.7219,537323.485,599386.18,3047520.2669,4184229.9319,8258914.6538,7782674,695101
5095,186242.3002,224336.006,592229.75489,1002808.06109,185444.7922,224899.006,592229.75489,1002573.55309,2005381.6142,1980817,27593
7400,2750,1913,4183.69,8846.69,7298,2265,4183.69,13746.69,22593.38,26143,
2739,238279,533784,33736.53,805799.53,233021,536971,33736.53,803728.53,1609528.06,1664064,748
2738,8114,4479,211.15,12804.15,6963,4485,211.15,11659.15,24463.3,28545,
2740,19202,20013,1567.005,40782.005,20925,19730,1567.005,42222.005,83004.01,82804,
2732,14837,14877,72985.735,102699.735,14849,17557,72985.735,105391.735,208091.47,185170,
5625,43619,92510,52532.065,188661.065,43490,98537,52532.065,194559.065,383220.13,387010,
2450,7366,4446,5.15,11817.15,7288,4443,5.15,11736.15,23553.3,25700,
8750,1705.5,3993,0,5698.5,1799.5,4398,0,6197.5,11896,11708,
9760,70102,60369,158268.455,288739.455,73135,60377,158268.455,291780.455,580519.91,534739,
1176,44815,32440,8283.72,85538.72,45862,32423,8283.72,86568.72,172107.44,168438,
4574,6501,2375,9511.03,18387.03,10332,2406,9511.03,22249.03,40636.06,28311,
9716,66476,48438,55651.26,170565.26,65459,48442,55651.26,169552.26,340117.52,272911,
7503,1101,539,530.4,2170.4,896,569,530.4,1995.4,4165.8,3881,
6204,2018,78,245.115,2341.115,1934,86,245.115,2265.115,4606.23,3868,
1360,45595,97713,197580.395,340888.395,46589,96498,197580.395,340667.395,681555.79,677429,41405
1141,2967,4622,5.15,7594.15,4044,4674,5.15,8723.15,16317.3,16080,
1018,4804,5277,260.89,10341.89,5003,5321,260.89,10584.89,20926.78,18583,
2123,121668,132602,1459.69,255729.69,128962,132672,1459.69,263093.69,518823.38,457346,
1282,6803,5638,2560.945,15001.945,8125,5701,2560.945,16386.945,31388.89,31136,
3501,24437,56849,1745.02,83031.02,25661,56306,1745.02,83712.02,166743.04,158172,
2435,914,575,320.275,1809.275,924,572,320.275,1816.275,3625.55,3754,
5253,75713,228350,184720.755,488783.755,89991,225262,184720.755,499973.755,988757.51,951144,
9668,3977,2054,1276.1,7307.1,3894,2054,1276.1,7224.1,14531.2,12727,
2599,240256,604433,112165.855,956854.855,234490,626479,112165.855,973134.855,1929989.71,1867937,362848
8536,9247,17016,3287.925,29550.925,10241,16903,3287.925,30431.925,59982.85,54759,
5626,22213,23327,36706.15,82246.15,22874,23552,36706.15,83132.15,165378.3,160940,
1993,4708,325,1156.145,6189.145,4862,330,1156.145,6348.145,12537.29,13397,
2195,72980,117835,755.16,191570.16,94318,117915,755.16,212988.16,404558.32,415685,27
2239,55600,46190,42.575,101832.575,55903,46178,42.575,102123.575,203956.15,155295,
5130,34143,58602,103421.975,196166.975,33229,60908,103421.975,197558.975,393725.95,381399,
4304,6325,15267,848.65,22440.65,9082,15272,848.65,25202.65,47643.3,39527,
5254,10914,9572,18822.095,39308.095,12944,9669,18822.095,41435.095,80743.19,87884,
6216,40145,39860,28618.7,108623.7,41766,40319,28618.7,110703.7,219327.4,221405,
5894,12095,10305,20463.395,42863.395,13299,11361,20463.395,45123.395,87986.79,80925,
6237,6517,4271,4166.79,14954.79,7767,4302,4166.79,16235.79,31190.58,29251,
3018,29113,40834,49205.475,119152.475,29766,42039,49205.475,121010.475,240162.95,253787,56939
5876,268508,535995,252297.47,1056800.47,269407,542242,252297.47,1063946.47,2120746.94,2199464,85903
1112,74951,105410,5572.65,185933.65,78236,105067,5572.65,188875.65,374809.3,342156,
1381,1480,2395,5667.775,9542.775,1577,2548,5667.775,9792.775,19335.55,22415,
6027,22609,13150,71359.161393,107118.161393,22064,13134,71359.161393,106557.161393,213675.32279,174304,
9968,5647,3907,55154.44,64708.44,5749,3906,55154.44,64809.44,129517.88,113682,
5403,3071,8454,8858.835,20383.835,4487,8474,8858.835,21819.835,42203.67,43255,
5693,317240,283336,263384.35,863960.35,321279,286711,263384.35,871374.35,1735334.7,1684705,
8346,122308,111908,20511.77,254727.77,24612,94539,20511.77,139662.77,394390.54,403577,29042
8345,482743,638624,86309.67,1207676.67,527642,661171,86309.67,1275122.67,2482799.34,2401201,14008
3341,46588,50442,27980.205,125010.205,47035,50489,27980.205,125504.205,250514.41,254354,
