" NLC"," Entries Standard"," Entries Reduced"," Entries Season",Total Entries," Exits Standard"," Exits Reduced"," Exits Season",Total Exits," All Entries & Exits"," Interchanges"
5623,135013,217506,128829,481348,133873,222665,128829,485367,966715,66908
5280,14074,16294,16816,47184,15240,16601,16816,48657,95840,
6025,52934,46845,167356,267135,41898,47069,167356,256324,523460,4096
9905,15504,11085,5336,31925,17906,11085,5336,34327,66252,
9861,49112,54893,37968,141973,50343,54908,37968,143219,285191,
1805,26999,36664,9059,72722,28579,37223,9059,74861,147582,
7520,9749,5391,5289,20429,10275,5393,5289,20957,41386,
2214,2040,1823,564,4427,2544,2183,564,5291,9718,9
8605,808,327,67,1202,935,327,67,1329,2530,
7787,7851,26678,9791,44320,8471,26684,9791,44946,89266,396
6847,2039,8464,14896,25399,2495,8588,14896,25979,51377,
1223,8581,4148,1684,14413,9838,4284,1684,15806,30219,
6869,1277,4026,15872,21175,1859,4526,15872,22257,43432,
6532,814,658,199,1671,795,658,199,1652,3322,
8606,46,6,0,52,91,6,0,97,149,
5544,47607,65099,82882,195588,46716,66043,82882,195641,391228,
2806,34681,46241,10706,91628,35165,46301,10706,92172,183800,3
1198,19629,7724,948,28301,31222,7835,948,40005,68306,
1678,4019,5627,1086,10732,4229,5586,1086,10901,21632,
5250,2472,8699,3805,14976,3454,8805,3805,16064,31039,
4236,1006,4102,0,5108,1092,4236,0,5328,10436,
6358,1001,390,913,2304,1594,393,913,2900,5203,
9965,36923,13810,41816,92549,36471,13811,41816,92098,184646,
5510,85844,135210,169160,390214,89103,137476,169160,395739,785952,839
5397,22877,29823,68711,121412,18548,31850,68711,119109,240520,
6909,2363,884,2966,6213,6710,899,2966,10575,16787,
5267,33513,104184,70911,208608,32571,106858,70911,210340,418948,
9451,3668,33126,2105,38899,4093,33863,2105,40061,78959,
9972,114690,65933,74787,255410,122014,65936,74787,262737,518146,
2662,12118,9949,942,23009,12328,9962,942,23232,46241,
2052,18433,2585,3885,24903,18846,2587,3885,25318,50221,0
5003,970,2532,3712,7214,2126,2627,3712,8465,15678,
3109,1022,1483,1192,3697,1661,1497,1192,4350,8046,
2396,10804,37477,20844,69125,12584,38510,20844,71938,141063,
1430,26913,55474,43300,125687,26212,58209,43300,127721,253407,
9079,48234,70357,20356,138947,50040,70380,20356,140776,279723,65
8613,974,293,0,1267,798,295,0,1093,2360,
9962,616,139,0,755,760,140,0,900,1655,
9453,17178,8482,25,25685,21618,8499,25,30142,55827,
9569,24892,23529,27098,75519,26083,23539,27098,76720,152239,129
9455,1889,1561,245,3695,2442,1572,245,4259,7954,
2960,144,64,33,241,272,46,33,351,591,
9961,135225,56646,50072,241943,65567,56646,50072,172285,414227,
8821,1424,1842,0,3266,2042,1846,0,3888,7154,
6171,22775,36053,64691,123519,30163,36283,64691,131137,254655,
2054,2883,185,1231,4299,3093,184,1231,4508,8806,
1963,16870,16227,7890,40987,19514,16366,7890,43770,84757,
8045,324,523,451,1298,382,523,451,1356,2653,
9963,3361,816,0,4177,2236,818,0,3054,7231,
5251,16948,51273,37849,106070,19249,50601,37849,107699,213769,
5666,132444,187515,99812,419771,129970,190138,99812,419920,839690,186643
3003,524,237,349,1110,409,237,349,995,2104,
5641,26112,37354,29097,92563,20015,44594,29097,93706,186269,3060
5547,39681,45873,81848,167402,40283,46303,81848,168434,335835,116771
2941,8504,4805,10479,23788,9930,5221,10479,25630,49417,
4700,6493,12568,4799,23860,7663,12615,4799,25077,48937,
9953,8818,7460,1980,18258,12118,7462,1980,21560,39818,
5667,64307,73694,130917,268918,61883,73894,130917,266694,535611,
5004,197110,318855,487893,1003858,206006,308030,487893,1001929,2005787,216801
2850,983,1037,168,2188,1041,1044,168,2253,4441,
5347,79158,109881,198882,387921,78839,110662,198882,388383,776304,
2790,28001,71465,17685,117151,23463,76526,17685,117674,234825,
5398,484,587,1091,2162,649,665,1091,2405,4567,
5906,3446,4435,7529,15410,4345,4528,7529,16402,31812,
6083,6820,5135,32927,44882,8629,5211,32927,46767,91648,
1953,4691,9512,6817,21020,5171,10791,6817,22779,43798,
6233,7003,1088,2492,10583,6483,1066,2492,10041,20624,
2095,3233,1404,1327,5964,3480,1407,1327,6214,12178,
1380,1235,3568,1985,6788,1290,3686,1985,6961,13749,
1004,30615,41927,500,73042,34102,42053,500,76655,149696,11263
1074,2392,729,188,3309,2554,729,188,3471,6779,
2584,32449,50671,18706,101826,23855,55297,18706,97858,199684,
8608,58,36,0,94,101,36,0,137,231,
1624,11025,1192,2211,14428,11681,1234,2211,15126,29554,
7367,6270,15020,2356,23646,6783,15745,2356,24884,48530,
9457,6389,6159,1760,14308,7264,6174,1760,15198,29505,
7017,58300,92832,232833,383965,62720,93742,232833,389295,773260,3114
2215,12005,18494,14856,45355,14407,18222,14856,47485,92840,
8610,14476,20403,125,35004,14707,20394,125,35226,70230,115
3265,2030,1912,363,4305,2227,1918,363,4508,8812,
3200,13142,1548,5969,20659,11798,1566,5969,19333,39992,
5714,14330,59189,12887,86406,16093,59404,12887,88384,174790,
1492,124362,200891,160910,486163,108932,201595,160910,471437,957599,1525
5162,14674,9013,9639,33326,15505,9270,9639,34414,67739,
5197,11681,15218,12616,39515,12384,15246,12616,40246,79761,
9463,238671,209192,108518,556381,223931,209120,108518,541569,1097949,29007
2187,5361,7015,2198,14574,8465,7161,2198,17824,32398,
4186,2390,2750,501,5641,2714,2750,501,5965,11605,
5681,14019,12051,13627,39697,16915,12577,13627,43119,82815,
8552,41048,24148,6122,71318,47763,23288,6122,77173,148490,
9763,8284,6246,6413,20943,11309,6245,6413,23967,44909,
5492,5635,9434,25732,40801,6889,9623,25732,42244,83045,
6084,33994,45547,75054,154595,39706,45861,75054,160621,315216,
5399,308227,244222,824318,1376767,301324,243873,824318,1369515,2746281,55709
9862,63904,70017,92384,226305,59811,70033,92384,222228,448533,
9013,38,151,0,189,4,151,0,155,344,
2561,23965,4409,4449,32823,22573,4423,4449,31445,64268,
2820,4693,3314,839,8846,3815,3388,839,8042,16888,
8839,466,465,0,931,1073,463,0,1536,2467,
4502,115772,226081,112660,454513,110663,230229,112660,453552,908065,101581
2471,43401,187505,35567,266473,40635,187031,35567,263233,529705,861
2238,13526,12170,26,25722,14862,14625,26,29513,55234,
5348,3773,3074,28792,35639,8547,3157,28792,40496,76135,
9466,19065,14131,13180,46376,24675,14130,13180,51985,98361,
7563,675,472,1458,2605,615,477,1458,2550,5154,
2690,36816,6195,11101,54112,41778,6220,11101,59099,113211,
9764,6730,6468,4635,17833,7946,6472,4635,19053,36886,
4011,13779,49883,23212,86874,13879,49939,23212,87030,173904,
7492,601797,472525,1305057,2379380,257295,471657,1305057,2034010,4413389,96717
1279,2696,359,1317,4372,2846,359,1317,4522,8894,
5133,10018,8456,32036,50510,9978,8977,32036,50991,101501,
4445,26744,23775,40024,90543,24934,23420,40024,88378,178920,
5089,83415,82280,483001,648696,68452,83301,483001,634754,1283450,
5551,110368,91877,208636,410882,107237,91427,208636,407301,818183,17701
5580,22616,13387,15750,51754,37305,13632,15750,66687,118441,
6406,5051,11823,1779,18653,5345,12095,1779,19219,37872,4153
5252,54409,110118,157752,322279,60800,108431,157752,326983,649261,491265
9973,10487,5250,2528,18265,9157,5250,2528,16935,35200,
6774,102370,200456,13169,315995,97912,197381,13169,308462,624456,1070
5725,12153,63546,5929,81628,12655,63262,5929,81846,163473,
1096,35508,15999,7818,59325,51630,16370,7818,75818,135142,8470
9674,75663,70625,66978,213266,86997,70642,66978,224617,437882,
9467,1463,902,48,2413,1468,901,48,2417,4830,
6212,1218,196,425,1839,1532,196,425,2153,3992,
1954,49089,146278,59841,255208,44741,144301,59841,248883,504090,10466
1903,10392,7402,6215,24009,10039,7420,6215,23674,47683,
3805,60411,104439,67980,232830,56783,104625,67980,229388,462217,
3806,22046,39816,13254,75116,20924,39804,13254,73982,149097,
3807,21997,115792,49826,187615,29571,115744,49826,195141,382756,
9020,3,4,0,7,13,4,0,17,24,
6207,21069,3723,1889,26681,20914,3722,1889,26525,53205,
7494,212458,249492,458739,920689,205122,250028,458739,913889,1834578,
5520,411471,653042,707011,1771524,420403,645692,707011,1773106,3544630,537604
5090,4343,7166,15229,26738,12236,7640,15229,35105,61843,
3271,428260,881089,251601,1560950,422564,873203,251601,1547368,3108318,100411
9311,107439,113363,69304,290106,108258,113380,69304,290942,581048,
8484,14777,10787,546,26110,19062,10791,546,30399,56508,
7909,178,561,0,739,153,563,0,716,1455,
5420,228445,163037,452689,844172,302275,161852,452689,916816,1760988,9462
5215,31091,83100,113663,227854,32596,81697,113663,227956,455809,
6870,699,1383,1943,4025,994,1408,1943,4345,8369,
6006,1628,1915,5471,9014,2416,1947,5471,9834,18848,
3047,111841,190064,197415,499320,114610,190413,197415,502438,1001757,
2420,744,249,5,998,890,301,5,1196,2194,
9966,72910,41255,38042,152207,76909,41256,38042,156207,308414,
5091,20653,31681,99210,151544,19533,33050,99210,151793,303337,
8822,206,131,0,337,235,134,0,369,706,
5890,1017,2359,724,4100,1183,2386,724,4293,8393,
8877,10,5,0,15,3,5,0,8,23,
2188,75040,99072,2363,176475,78041,104113,2363,184517,360991,
7258,10077,30249,770,41096,9597,30795,770,41162,82258,
5076,15877,10209,38891,64978,11330,10671,38891,60893,125870,
5046,119262,164146,583585,866993,103855,164370,583585,851810,1718804,306002
1512,139346,498256,623194,1260796,160769,485125,623194,1269088,2529883,58869
1510,27,98,98,223,231,93,98,422,644,
5538,14592,13301,10496,38389,16133,13382,10496,40011,78399,
3245,5914,2294,4418,12626,6343,2299,4418,13060,25685,
1165,5586,2542,1351,9479,6850,2770,1351,10971,20450,
3070,11320,20633,9238,41191,11038,21683,9238,41959,83150,
1625,79874,49547,32804,162225,78859,49199,32804,160862,323087,5931
5198,4373,5675,4356,14404,4858,5671,4356,14885,29289,
2785,589,3000,247,3836,1365,3545,247,5157,8993,
9895,53323,41037,15594,109954,58773,41042,15594,115409,225363,12936
5062,30313,31451,175275,237039,21485,31995,175275,228755,465794,
9714,83095,69183,68300,220578,91524,69185,68300,229009,449587,9923
5350,4200,3095,6376,13671,6194,3147,6376,15717,29388,
1679,11219,18692,6869,36780,12396,19328,6869,38593,75373,208
5227,622,903,1592,3117,1260,921,1592,3773,6889,
5092,37844,34550,135216,207610,33469,34882,135216,203567,411177,
8047,1715,2271,783,4769,1841,2269,783,4893,9662,
8564,23782,21601,2891,48274,24758,20396,2891,48045,96319,
7439,246028,238665,740023,1224716,240989,239136,740023,1220148,2444863,
2676,4988,1013,776,6777,4899,1020,776,6695,13472,
5624,7772,5920,18762,32454,8332,6044,18762,33138,65592,
8352,22870,16707,6319,45896,19009,16385,6319,41713,87608,
3549,9596,6214,2798,18608,11670,6217,2798,20685,39292,
3550,3455,2772,1522,7749,3855,2772,1522,8149,15898,
1390,88197,181204,254291,523692,72514,204184,254291,530989,1054681,
1045,29120,28174,1183,58477,26678,28223,1183,56084,114561,
7330,324,80,0,404,360,81,0,441,845,
8431,3941,3437,672,8050,4419,3263,672,8354,16403,
5581,22299,17287,45879,85465,26357,17664,45879,89900,175365,
5323,5020,16136,16266,37422,4347,17634,16266,38247,75668,
7791,45342,97810,14080,157232,46012,97586,14080,157678,314909,567
2351,1015,782,5,1802,1076,782,5,1863,3665,
1003,9591,19481,69,29141,10307,19383,69,29759,58900,
5472,1371,1323,2484,5178,1301,1473,2484,5258,10435,
6961,20041,28230,109661,157932,46203,28578,109661,184442,342374,
2449,13145,3127,114,16386,13310,3155,114,16579,32964,
8048,71390,104513,98191,274094,76224,104576,98191,278991,553085,45
5211,62677,167756,174993,405426,66926,168017,174993,409936,815362,
5093,72721,73390,288104,434215,73212,74394,288104,435710,869925,
5094,148197,144132,789235,1081564,137246,145893,789235,1072374,2153938,
3048,54162,114751,110186,279099,54149,116653,110186,280988,560086,
3104,4135,10424,9860,24419,4965,10849,9860,25674,50092,
5063,53819,53669,188296,295784,48607,54454,188296,291357,587141,137666
2136,18254,17819,675,36748,17122,18747,675,36544,73291,59934
6170,44788,86279,138320,269387,52177,86843,138320,277340,546726,
4618,5824,2884,1900,10608,5650,2901,1900,10451,21058,
6871,151971,236123,943600,1331694,153518,237265,943600,1334383,2666076,
7910,5780,7247,2390,15417,6982,7264,2390,16636,32052,
5464,25550,51860,93289,170699,25785,51070,93289,170144,340842,
6235,11119,4173,5006,20298,11177,4499,5006,20682,40979,
8553,109762,101694,10214,221670,127457,98931,10214,236602,458272,
3907,8854,9146,6955,24955,8811,9145,6955,24911,49866,
5163,13329,33129,52522,98980,13190,33076,52522,98788,197768,
2304,77829,51373,35037,164239,73519,51452,35037,160008,324246,
5401,5278,3401,19417,28096,3074,3443,19417,25935,54031,
2352,36835,46028,1344,84207,31369,48352,1344,81065,165271,
2217,55690,114768,2855,173313,45008,99927,2855,147790,321102,
2219,233756,324271,7102,565129,205769,242964,7102,455835,1020963,21682
2145,38480,56380,2093,96953,35361,54778,2093,92232,189185,1276
2220,89733,106081,1002,196816,116585,190905,1002,308492,505308,
4513,43,355,5,403,111,359,5,475,878,
1215,349982,513750,34212,897944,331689,495313,34212,861214,1759158,27619
4515,20650,22276,359,43285,3385,17565,359,21309,64594,420851
1127,2124314,4258991,281912,6665217,2137409,4250845,281912,6670166,13335383,2353774
1006,93186,59324,6710,159220,16363,50086,6710,73159,232379,31443
7835,14550,14091,1455,30096,14422,14101,1455,29978,60073,
9940,74658,53375,53054,181087,92050,53397,53054,198501,379588,
6800,196787,267552,593611,1057950,195330,266179,593611,1055120,2113070,24609
5402,1332,4908,3921,10161,1191,5945,3921,11057,21218,
9620,71348,61074,79983,212405,81387,61070,79983,222440,434844,
5945,6689,3957,5806,16452,7585,3976,5806,17367,33819,
2737,126333,196093,75535,397961,134083,198007,75535,407625,805586,36170
5112,186287,89234,484500,760021,91025,74740,484500,650265,1410286,775264
5095,167967,267174,699956,1135097,120079,293567,699956,1113602,2248699,16758
2739,119293,706569,27324,853186,109087,703192,27324,839603,1692788,843
2738,8471,7244,349,16064,7448,7016,349,14813,30877,
2740,13302,23001,1848,38151,13615,23671,1848,39134,77285,0
2732,11968,12479,50380,74827,11039,15414,50380,76833,151660,
5625,45194,80698,42311,168203,46921,82373,42311,171605,339807,
2450,15809,5207,221,21237,15499,5241,221,20961,42198,
8750,1346,2740,0,4086,1516,2971,0,4487,8573,
9760,61546,50952,140445,252943,63057,50952,140445,254454,507397,
1176,39180,24971,15403,79554,38267,24927,15403,78597,158150,
4574,6623,2559,7600,16782,8763,2587,7600,18950,35732,
9716,43862,36847,29225,109934,45886,36852,29225,111963,221896,
7503,935,319,75,1329,1261,334,75,1670,2999,
6204,1907,97,239,2243,1610,98,239,1947,4190,
1360,46001,110877,175712,332590,47936,109730,175712,333378,665967,44541
1141,3415,4100,26,7541,4717,4173,26,8916,16457,
1018,4176,3308,0,7484,4485,3334,0,7819,15303,
2123,76420,68492,642,145554,74424,74901,642,149967,295520,
1282,9428,5604,3577,18609,10202,5975,3577,19754,38362,
3501,19844,50638,2457,72939,20942,49853,2457,73252,146191,
2435,780,899,328,2007,896,908,328,2132,4139,
5253,66386,212730,134780,413896,67419,210960,134780,413159,827055,
9668,3382,1317,1681,6380,3253,1317,1681,6251,12630,
2599,217365,531181,105379,853925,208165,550659,105379,864203,1718128,288306
8536,5559,12330,1255,19144,6139,12453,1255,19847,38990,
5626,17181,23019,34888,75088,18111,23730,34888,76729,151816,
1993,3804,304,2268,6376,3956,306,2268,6530,12906,
2195,69504,73955,2567,146026,82063,95680,2567,180310,326335,
2239,17743,22148,1450,41341,7454,8044,1450,16948,58289,
5130,30136,60263,94904,185303,29751,63207,94904,187862,373165,
4304,9925,5903,667,16495,12175,5923,667,18765,35260,
5254,8449,8582,23810,40841,8426,8609,23810,40845,81686,
6216,23942,54177,25375,103494,24014,54420,25375,103809,207303,
5894,10562,7485,14196,32243,12057,7861,14196,34114,66356,
6237,6572,2707,3789,13068,7038,2739,3789,13566,26634,
3018,28058,45234,48217,121509,27152,47496,48217,122865,244373,51369
5876,223663,519570,263029,1006262,227486,523638,263029,1014153,2020414,80803
1112,65112,72819,1694,139625,64432,72796,1694,138922,278547,
1381,1860,3785,5289,10934,1799,3813,5289,10901,21835,
6027,15757,5734,74561,96052,13131,5766,74561,93457,189509,
9968,6534,3919,66984,77437,6581,3919,66984,77484,154921,
5403,2877,7657,5235,15769,4754,7718,5235,17707,33476,
5693,291854,274090,219427,785371,294239,276259,219427,789925,1575296,
8346,142185,82473,12035,236693,20179,66920,12035,99134,335826,19941
8345,333216,450415,47780,831411,420686,463025,47780,931491,1762901,3893
3341,34857,51118,21989,107964,36116,51112,21989,109217,217180,
5530,25756,1646,8578,35980,25716,1647,8578,35941,71921,
6801,27712,114702,218526,360940,27091,119420,218526,365037,725977,
2053,1853,6139,844,8836,1078,6119,844,8041,16877,
2944,20343,28300,17046,65689,17493,30647,17046,65186,130874,
5500,23395,44858,47751,116004,23042,47659,47751,118452,234455,
8496,17912,11323,3123,32358,21028,11030,3123,35181,67539,
7565,1079,1501,176,2756,1492,1504,176,3172,5927,
7259,1351,1256,119,2726,1668,1297,119,3084,5809,
9938,14044,9915,4621,28580,13876,9916,4621,28413,56993,
7200,3132,5565,1482,10179,3079,5823,1482,10384,20563,
5875,21109,22089,23015,66213,22030,22525,23015,67570,133783,
2045,568,128,430,1126,728,129,430,1287,2413,
2779,11449,29528,9175,50152,9634,31367,9175,50176,100328,
9251,49,2,165,216,58,2,165,225,440,
5552,47828,24673,31176,103677,65003,30566,31176,126745,230421,
6872,251956,244208,647954,1144118,226132,253345,647954,1127431,2271548,
1560,7665,8553,8819,25037,8588,8736,8819,26143,51179,
9889,27985,14599,13704,56288,30357,14789,13704,58850,115137,
8823,1365,623,0,1988,1701,631,0,2332,4320,
3809,102713,201302,49470,353485,104903,200819,49470,355192,708677,16966
9789,38225,25581,21016,84822,39963,25580,21016,86559,171381,
3449,22817,36090,3747,62654,22164,36215,3747,62126,124779,
8049,48000,106181,27334,181515,48430,106232,27334,181996,363510,97
2554,5933,3309,1342,10584,5640,3312,1342,10294,20878,
6464,93,18,0,111,124,19,0,143,254,
8514,10000,10219,356,20575,11803,10312,356,22471,43046,
5268,738662,2869981,1444462,5053105,854887,2801147,1444462,5100496,10153601,794254
6810,38543,28402,97378,164324,35160,28161,97378,160700,325023,
2603,6908,18564,3863,29335,5430,18911,3863,28204,57539,
3230,245379,257714,92641,595734,243532,254641,92641,590814,1186548,319311
3231,723215,1229105,391822,2344142,723849,1220941,391822,2336612,4680753,631669
4012,3088,7481,2178,12747,2695,7490,2178,12363,25110,
7932,57,31,186,274,71,30,186,287,561,
4187,4550,5304,1201,11055,4615,5305,1201,11121,22175,
5081,19576,37415,89766,146757,32585,38054,89766,160405,307163,
2240,29592,41929,1283,72804,29738,40981,1283,72002,144805,
2892,12620,22555,6316,41491,9410,26378,6316,42104,83594,
5006,32758,112452,81427,226637,31945,113711,81427,227083,453720,
5886,60579,123255,244835,428669,58250,125676,244835,428761,857429,165782
8429,7851,6421,1131,15403,9608,6722,1131,17461,32864,
5404,129024,150332,334745,614102,152417,150606,334745,637769,1251870,
7740,19787,9852,1061,30700,16662,7531,1061,25254,55953,
2190,67002,74333,1397,142732,65616,75248,1397,142261,284993,
2191,24461,31469,172,56102,18845,25784,172,44801,100902,
2697,26955,34695,21290,82940,27409,37148,21290,85847,168787,
5096,27255,34557,145270,207082,31320,33230,145270,209820,416902,
5064,424019,761665,1191326,2377010,427337,759513,1191326,2378176,4755186,616076
4715,31236,19627,4617,55480,38074,20240,4617,62931,118411,
1437,40241,47661,105281,193183,60824,45814,105281,211919,405103,
1438,13976,17133,49805,80914,20534,16864,49805,87203,168116,
6074,14579,11151,37232,62962,14872,11226,37232,63330,126291,
5687,79554,80422,151130,311106,79402,81255,151130,311787,622892,31663
4175,256,570,301,1127,197,462,301,960,2087,
8050,670,173,1204,2047,574,173,1204,1951,3998,
8618,1425,477,0,1902,1494,477,0,1971,3873,
8051,37192,42650,35832,115674,39705,42620,35832,118157,233830,376
9023,359,1410,787,2556,432,1408,787,2627,5183,
6812,142101,176079,354188,672368,135134,174326,354188,663648,1336016,267650
6958,18145,15587,60057,93789,19355,15628,60057,95040,188829,
7289,8839,19259,4175,32273,8040,22507,4175,34722,66995,256
7006,1155,1037,94,2286,1083,1515,94,2692,4977,
3623,51319,54940,1345,107604,54510,50155,1345,106010,213614,
5702,2493,4560,964,8017,2846,4580,964,8390,16407,
2222,16473,18779,4591,39843,15732,20448,4591,40771,80614,
7290,5,14,0,19,2,20,0,22,41,
2422,16250,2031,274,18555,17801,2052,274,20127,38682,
4182,433,1423,425,2281,460,1468,425,2353,4634,
3502,218,254,0,472,217,254,0,471,943,
4317,397,1530,0,1927,451,1661,0,2112,4039,
1865,25292,24611,4765,54668,24492,24622,4765,53879,108546,
7085,2217,6817,14387,23421,2153,6996,14387,23536,46956,
5483,72003,171457,388363,631823,74265,171348,388363,633976,1265798,
8500,50883,28283,6046,85212,58686,28833,6046,93565,178777,
8565,49695,48858,3457,102010,58443,49084,3457,110984,212993,
2945,11440,16444,6414,34298,8827,17544,6414,32785,67082,
1975,3370,1102,33,4505,3146,1112,33,4291,8795,
3176,115133,136577,167130,418840,112164,143178,167130,422472,841312,
6873,11836,38042,97575,147453,11143,40216,97575,148934,296387,
2743,211,279,0,490,328,288,0,616,1106,
2550,25715,26964,5891,58570,27721,27144,5891,60756,119325,23
2549,19127,29307,8215,56649,21384,29320,8215,58919,115567,
9767,46083,35467,35844,117394,57192,35489,35844,128525,245918,
9107,14085,26960,18464,59509,15402,26968,18464,60834,120343,
2279,20644,28332,6205,55181,20937,28801,6205,55943,111124,
2280,4989,11778,1640,18407,4490,13660,1640,19790,38196,
5927,5808,6177,4588,16573,6812,6260,4588,17660,34232,
6200,2628,938,522,4088,2634,947,522,4103,8191,
1658,54703,118392,31202,204297,57631,120442,31202,209275,413572,5061
7008,43862,49433,11222,104517,45741,49616,11222,106579,211096,317
9791,17091,12374,11505,40970,21548,12413,11505,45466,86435,
6913,67555,56517,173006,297078,45327,56147,173006,274480,571558,
1395,46701,53931,129598,230230,53039,58613,129598,241250,471479,
1179,26213,23422,1178,50813,22021,23408,1178,46607,97419,
4409,935,927,0,1862,1020,850,0,1870,3732,
5324,5705,6140,20444,32289,5824,6088,20444,32356,64645,
2946,18553,68141,20752,107446,15774,67891,20752,104417,211862,
5689,40468,35383,52344,128195,42208,35595,52344,130147,258342,
4124,64,190,0,254,63,220,0,283,537,
3811,40273,63160,41157,144590,45354,63197,41157,149708,294298,
2536,11839,656,270,12765,12651,660,270,13581,26345,
3812,71187,150487,94172,315846,73805,151017,94172,318994,634839,
4412,4120,6986,97,11203,4065,7164,97,11326,22528,
3680,8675,11552,4772,24999,10592,11584,4772,26948,51947,
1439,16380,20423,49949,86752,37580,21054,49949,108583,195335,
3562,5872,5300,1232,12404,5944,5301,1232,12477,24880,
3238,10718,10903,4892,26513,11658,10920,4892,27470,53983,
5682,60350,66465,37634,164449,60528,69832,37634,167994,332442,
3504,22128,28010,750,50888,21575,28018,750,50343,101231,
7022,584720,1311513,685069,2581302,576296,1311398,685069,2572763,5154064,95690
6962,3622,3347,32667,39636,8657,3378,32667,44702,84338,
9768,76278,56880,70642,203800,94694,56883,70642,222219,426019,4980
1440,64812,101105,325544,491460,86311,97090,325544,508945,1000405,1161
9878,10568,9150,9712,29430,13232,9152,9712,32096,61525,
1129,13232,13414,808,27454,14263,13434,808,28505,55958,
6963,1426,2170,5917,9512,9703,3878,5917,19497,29009,
1016,21963,32931,174,55068,24986,33523,174,58683,113751,
5142,174120,84616,844543,1103279,16378,35830,844543,896751,2000029,90756
1441,21926,23341,65737,111004,21819,23631,65737,111187,222191,
5164,66691,104839,48684,220214,26829,90776,48684,166289,386502,231096
5007,185487,412310,256052,853849,223794,415216,256052,895062,1748911,36091
7292,3471,4141,506,8118,5190,4145,506,9841,17959,
2186,6638,5782,3376,15796,12360,5819,3376,21555,37351,
3542,13090,8987,576,22653,16398,8989,576,25963,48616,
9112,6139,7212,3262,16613,5399,7214,3262,15875,32487,
3815,25220,25502,31217,81939,25158,25536,31217,81911,163849,
3899,838156,2269886,630852,3738894,851000,2259159,630852,3741011,7479904,421206
3900,233325,325458,273244,832027,196535,324504,273244,794283,1626309,216482
9624,16717,11126,12000,39843,20253,11125,12000,43378,83221,
9969,19277,17343,43553,80173,21830,17342,43553,82725,162898,
9877,7846,7811,3041,18698,9464,7812,3041,20317,39015,
1964,9404,6349,2544,18297,10638,6394,2544,19576,37873,
2118,131223,385388,39950,556561,127620,380625,39950,548195,1104756,171211
6201,4415,2584,1319,8318,4195,3062,1319,8576,16893,
9702,34401,26082,34716,95199,36213,26080,34716,97009,192208,
4068,40241,77407,17270,134918,39501,77036,17270,133807,268724,3462
9769,13244,9610,5114,27968,15450,9610,5114,30174,58141,
2640,19796,23143,5055,47994,21824,23589,5055,50468,98461,5600
9028,9251,7914,3164,20329,9245,7902,3164,20311,40640,
9897,27684,17214,10729,55627,30023,17213,10729,57965,113591,
1442,52849,68668,66820,188337,39802,75523,66820,182145,370482,
8621,437,418,0,855,656,419,0,1075,1930,
5405,63632,91827,206913,362372,50281,88788,206913,345982,708354,
5406,52838,68598,202821,324257,40066,68718,202821,311605,635862,
