" NLC Code"," Entries Standard"," Entries Reduced"," Entries Season",Total Entries," Exits Standard"," Exits Reduced"," Exits Season",Total Exits," All Entries & Exits",Interchanges
6869,1592,4644,18965,25201,2243,7084,18965,28292,53493,
6532,1391,986,282.5,2659.5,1078,986,282.5,2346.5,5006,
8606,21,3,0,24,31,3,0,34,58,
5544,45191,74940,86268.5,206399.5,40737,79075,86268.5,206080.5,412480,
2806,35043,48938,12972,96953,39436,49358,12972,101766,198719,6
1198,19547,7647,749,27943,30668,7764,749,39181,67124,
1678,4456,6099,1196.5,11751.5,4496,6229,1196.5,11921.5,23673,
5250,2081,11085,2428.5,15594.5,2699,11953,2428.5,17080.5,32675,
4236,2337,2122,10,4469,2351,2176,10,4537,9006,
6358,936,177,118.5,1231.5,1356,177,118.5,1651.5,2883,
9965,33035,14207,37822,85064,34533,14181,37822,86536,171600,
5510,65169,141042,135997,342208,66114,146130,135997,348241,690449,1248
5397,22451.093,30156.22,79472.953,132080.266,17766.048,34097.502,79472.953,131336.503,263416.769,
6909,1186.1,785.066,2713.095,4684.261,6499.183,1950.066,2713.095,11162.344,15846.605,
5267,27742,128524,61514.5,217780.5,25270,133453,61514.5,220237.5,438018,
9451,3605,26608,1871.5,32084.5,3903,27064,1871.5,32838.5,64923,
9972,118920,72926,80774,272620,124420,72930,80774,278124,550744,
2662,9642,6604,1163,17409,9385,6669,1163,17217,34626,
2052,21611,2854,5649,30114,22037,2869,5649,30555,60669,
5003,1484,3309,4282,9075,2530,3512,4282,10324,19399,
3109,1231,1691,1069.5,3991.5,1973,1711,1069.5,4753.5,8745,
2396,9931,27687,18097.5,55715.5,10197,29018,18097.5,57312.5,113028,
1430,26684,61718,51323.5,139725.5,25942,64247,51323.5,141512.5,281238,
9079,46792,66507,14334,127633,43379,66648,14334,124361,251994,30
8613,747,359,0,1106,681,361,0,1042,2148,
9962,665,260,0,925,795,260,0,1055,1980,
9453,15418,9013,5,24436,20176,9384,5,29565,54001,
9569,23774,25545,31797,81116,24869,25629,31797,82295,163411,162
9455,2019,1961,379.5,4359.5,2708,1998,379.5,5085.5,9445,
2960,76,77,5,158,256,54,5,315,473,
9961,149349,62536,60835,272720,62396,62561,60835,185792,458512,
8821,1906,804,0,2710,2364,797,0,3161,5871,
6171,18226,30011,56554.5,104791.5,24178,32767,56554.5,113499.5,218291,
2054,2603,283,1980.5,4866.5,3088,284,1980.5,5352.5,10219,
1963,17796,16851,9241,43888,19618,17016,9241,45875,89763,
8045,516,488,30.5,1034.5,413,486,30.5,929.5,1964,
9963,5961,925,0,6886,1794,942,0,2736,9622,
5251,12399,53699,32957,99055,12442,55229,32957,100628,199683,
5666,107336,189291,103905.5,400532.5,101152,197417,103905.5,402474.5,803007,184511
3003,476,302,541.5,1319.5,463,317,541.5,1321.5,2641,
5641,21889,45713,35719,103321,19053,49635,35719,104407,207728,3030
5547,34470,54422,80445,169337,31340,58679,80445,170464,339801,127637
2941,7730,5004,11338.5,24072.5,9702,5223,11338.5,26263.5,50336,
4700,5452,13619,5446,24517,6689,13667,5446,25802,50319,
9953,9288,7559,1797.5,18644.5,12860,7560,1797.5,22217.5,40862,
5004,150837,329636,435420,915893,146708,323993,435420,906121,1822014,267986
5667,65373,91686,156423.5,313482.5,59848,92405,156423.5,308676.5,622159,
2850,1129,1831,326.5,3286.5,1410,1826,326.5,3562.5,6849,
5347,75929,126351,196040,398320,75803,129416,196040,401259,799579,
2790,24121,56703,15356.5,96180.5,23699,59962,15356.5,99017.5,195198,
5398,337,683,1728.5,2748.5,408,800,1728.5,2936.5,5685,
6083,6633,6259,34275,47167,7322,7353,34275,48950,96117,
1953,3408,12431,6299.5,22138.5,3826,13281,6299.5,23406.5,45545,
6233,8677,191,1917.5,10785.5,8049,191,1917.5,10157.5,20943,
2095,3815,1740,1536,7091,3954,1740,1536,7230,14321,
1380,1345,4277,1796.5,7418.5,1163,4417,1796.5,7376.5,14795,
1004,25913,39890,297,66100,30319,39728,297,70344,136444,12830
1074,3276,884,295.5,4455.5,3433,878,295.5,4606.5,9062,
2584,25421,48615,18854,92890,21600,52524,18854,92978,185868,
8608,65,59,0,124,52,58,0,110,234,
1624,10076,1224,2772.5,14072.5,10350,1241,2772.5,14363.5,28436,
7367,9202,11519,2406.5,23127.5,10590,10017,2406.5,23013.5,46141,
9457,5208,5406,1738.5,12352.5,6298,5443,1738.5,13479.5,25832,
7017,45885,98722,222945.5,367552.5,43408,105767,222945.5,372120.5,739673,2517
2215,17770,18200,13733,49703,21410,18274,13733,53417,103120,
8610,11121,19355,308,30784,11360,19343,308,31011,61795,42
3265,1619,1616,553,3788,1743,1616,553,3912,7700,
3200,11459,1557,5672.5,18688.5,10955,1609,5672.5,18236.5,36925,
5714,11491,70755,27551.5,109797.5,11716,71962,27551.5,111229.5,221027,
1492,105215,201045,149040,455300,87198,202163,149040,438401,893701,3253
5162,20482,12813,11274,44569,19702,13275,11274,44251,88820,
5197,9852,17810,12156,39818,10165,18785,12156,41106,80924,
9463,240187,237134,118577,595898,227888,238004,118577,584469,1180367,44012
2187,12780,13060,3200,29040,14949,13070,3200,31219,60259,
4186,2840,2975,1185.5,7000.5,3253,2975,1185.5,7413.5,14414,
5681,15314,13727,12741.5,41782.5,18572,15102,12741.5,46415.5,88198,
8552,46915,29600,3261,79776,55897,28350,3261,87508,167284,
9763,10259,9073,5878.5,25210.5,12996,9237,5878.5,28111.5,53322,
5492,5862,12817,24060.5,42739.5,5828,15085,24060.5,44973.5,87713,
6084,24724,42695,71672,139091,31922,45641,71672,149235,288326,
5399,255318.008,314229.648,785124.886,1354672.542,225490.443,330929.082,785124.886,1341544.411,2696216.953,53078
9862,67351,70949,100766,239066,65822,70963,100766,237551,476617,
9013,29,91,10,130,23,90,10,123,253,
2561,24084,5269,5372,34725,23694,5275,5372,34341,69066,
2820,4600,3159,847.5,8606.5,3738,3160,847.5,7745.5,16352,
8839,522,133,0,655,549,131,0,680,1335,
4502,129043,190444,97510.5,416997.5,127866,191164,97510.5,416540.5,833538,87123
2471,46083,186903,31807.5,264793.5,42099,185939,31807.5,259845.5,524639,2711
2238,12591,19575,10,32176,16715,24089,10,40814,72990,
5348,3938,4147,26321.5,34406.5,8681,4846,26321.5,39848.5,74255,
9466,19081,18459,15291.5,52831.5,25218,18516,15291.5,59025.5,111857,
7563,1459,737,994.5,3190.5,1585,736,994.5,3315.5,6506,
2690,43850,6778,11004.5,61632.5,44201,6786,11004.5,61991.5,123624,
9764,8409,8813,3576,20798,8775,8861,3576,21212,42010,
4011,14968,39287,20478.5,74733.5,16079,39315,20478.5,75872.5,150606,
7492,413579.169,457685.252,1230109.741,2101374.162,235945.091,455016.405,1230109.741,1921071.237,4022445.399,110128
1279,3822,448,1778.5,6048.5,4245,450,1778.5,6473.5,12522,
5133,7221,10261,23413,40895,7120,10990,23413,41523,82418,
4445,19903,32324,21388.5,73615.5,18442,32193,21388.5,72023.5,145639,
5089,93611.55,89756.151,435092.8435,618460.5445,67190.016,90971.264,435092.8435,593254.1235,1211714.668,
5551,107193.191,111424.503,188375.5745,406993.2685,93815.829,118975.389,188375.5745,401166.7925,808160.061,13238
5580,29297.878,19295.001,15055.0305,63647.9095,33374.31,23656.902,15055.0305,72086.2425,135734.152,
6406,4845,11300,1222.5,17367.5,5554,11659,1222.5,18435.5,35803,2541
5252,45198,109596,134718.5,289512.5,48943,110139,134718.5,293800.5,583313,341679
9973,9712,4386,1322.5,15420.5,9075,4385,1322.5,14782.5,30203,
6774,103419,225970,17742,347131,98661,223477,17742,339880,687011,1610
5725,13963,67638,8384.5,89985.5,13939,67617,8384.5,89940.5,179926,
1096,34740,17959,8629.5,61328.5,55099,18511,8629.5,82239.5,143568,8038
9674,75899,72443,73585,221927,85151,73137,73585,231873,453800,
9467,998,1002,210.5,2210.5,1332,1012,210.5,2554.5,4765,
6212,1296,5,505.5,1806.5,1485,5,505.5,1995.5,3802,
1954,45638,158154,49877.5,253669.5,44202,156384,49877.5,250463.5,504133,8295
1903,11219,8312,4403.5,23934.5,10368,8331,4403.5,23102.5,47037,
3805,54736,77190,57681,189607,50105,77294,57681,185080,374687,
3806,20964,32749,12149,65862,20330,32773,12149,65252,131114,
3807,18202,76727,26702,121631,27459,76763,26702,130924,252555,
9020,12,17,0,29,14,17,0,31,60,
6207,21037,150,1706,22893,21536,156,1706,23398,46291,
7494,220155,256996,415818.5,892969.5,211310,257484,415818.5,884612.5,1777582,
5520,346857,645093,658046,1649996,346522,648451,658046,1653019,3303015,474965
5090,4460,6642,21990,33092,11650,8092,21990,41732,74824,
3271,389347,842485,241132,1472964,382280,837243,241132,1460655,2933619,105217
9311,92648,143488,58211,294347,99279,146191,58211,303681,598028,
8484,24865,22309,1576.5,48750.5,29487,21454,1576.5,52517.5,101268,
7909,240,517,0,757,391,519,0,910,1667,
5420,190916.658,174066.014,433942.8305,798925.5025,233349.248,170897.951,433942.8305,838190.0295,1637115.532,8386
5215,27708,86869,110155.5,224732.5,25594,89769,110155.5,225518.5,450251,
6870,663,1394,1803,3860,1122,1473,1803,4398,8258,
6006,617,1603,5319.5,7539.5,2788,1631,5319.5,9738.5,17278,
3047,98377,202755,173324,474456,102275,203187,173324,478786,953242,
2420,399,269,27.5,695.5,419,255,27.5,701.5,1397,
9966,81194,51091,40712.5,172997.5,84788,51072,40712.5,176572.5,349570,
5091,21146,38233,90048.5,149427.5,21434,40588,90048.5,152070.5,301498,
8822,163,31,0,194,156,31,0,187,381,
5890,913,1969,695,3577,1102,1988,695,3785,7362,
2188,67665,116665,1755,186085,71724,115000,1755,188479,374564,
7258,11154,25116,810,37080,10030,25760,810,36600,73680,
5076,10357.241,9229.383,33127.0785,52713.7025,9918.241,9759.383,33127.0785,52804.7025,105518.405,
5046,109467.67,177221.373,560859.1895,847548.2325,97251.874,178582.199,560859.1895,836693.2625,1684241.495,413659
1512,117945,531579,533999.5,1183523.5,135367,519109,533999.5,1188475.5,2371999,84557
1510,31,72,32.5,135.5,89,70,32.5,191.5,327,
5538,14366,14599,10600,39565,15869,15073,10600,41542,81107,
3245,4359,1972,3990.5,10321.5,4745,1974,3990.5,10709.5,21031,
1165,4773,2738,1046.5,8557.5,5706,2947,1046.5,9699.5,18257,
3070,9342,19351,10333.5,39026.5,8672,20184,10333.5,39189.5,78216,
1625,64482,41744,26752,132978,63348,41451,26752,131551,264529,4730
5198,3985,5448,8149,17582,4160,5565,8149,17874,35456,
2785,1171,4735,270,6176,1513,5195,270,6978,13154,
9895,59389,43194,15156.5,117739.5,63880,43215,15156.5,122251.5,239991,11798
5062,29114.245,34725.233,186312.559,250152.037,22307.295,35154.233,186312.559,243774.087,493926.124,
9714,84108,69806,66016,219930,96085,70106,66016,232207,452137,14587
5350,3167.052,2879,5827.092,11873.144,5253.009,3054.038,5827.092,14134.139,26007.283,
1679,13764,21942,4306,40012,14007,22702,4306,41015,81027,
5227,769,1259,1478,3506,1172,1398,1478,4048,7554,
5092,37800.699,39396.248,107539.111,184736.058,29960.493,39618.248,107539.111,177117.852,361853.91,
8047,1968,1863,1112,4943,2014,1863,1112,4989,9932,
8564,31133,27724,1621,60478,27147,24941,1621,53709,114187,
7439,225637,243466,756387,1225490,223115,244112,756387,1223614,2449104,
2676,5600,1341,183.5,7124.5,6035,1349,183.5,7567.5,14692,
5624,6547,7066,25878,39491,7160,7862,25878,40900,80391,
8352,30571,24386,6272,61229,24207,23677,6272,54156,115385,
3549,8554,5495,3478.5,17527.5,9392,5495,3478.5,18365.5,35893,
3550,4056,2664,1355,8075,4045,2661,1355,8061,16136,
1390,77308,201590,259969,538867,53451,232244,259969,545664,1084531,
1045,26294,30004,747.5,57045.5,25149,29989,747.5,55885.5,112931,
7330,213,117,0,330,328,117,0,445,775,
8431,4054,4335,735.5,9124.5,4895,4071,735.5,9701.5,18826,
5581,20838.001,18394.099,42503.351,81735.451,22604.02,19967.099,42503.351,85074.47,166809.921,
5323,4677,17098,15360.5,37135.5,3791,18496,15360.5,37647.5,74783,
7791,45267,98890,10100,154257,45431,98511,10100,154042,308299,729
2351,984,1094,0,2078,1135,1096,0,2231,4309,
1003,10752,22888,670.5,34310.5,11308,22742,670.5,34720.5,69031,
5472,1165,1577,3970.5,6712.5,914,2032,3970.5,6916.5,13629,
6961,8848.456,23423.652,113923.1775,146195.2855,34510.747,23844.03,113923.1775,172277.9545,318473.24,
2449,16093,2903,1006,20002,15857,2958,1006,19821,39823,
8048,77838,113305,95847.5,286990.5,78091,114201,95847.5,288139.5,575130,64
5211,56622,158252,138278,353152,58670,159129,138278,356077,709229,
5093,65848.461,69049.19,246012.1885,380909.8395,61685.333,69657.135,246012.1885,377354.6565,758264.496,
5094,167147.626,155757.513,689233.666,1012138.805,133327.931,156825.52,689233.666,979387.117,1991525.922,
3048,47920,95245,87410.5,230575.5,49095,95617,87410.5,232122.5,462698,
3104,4331,9011,7095.5,20437.5,5435,9172,7095.5,21702.5,42140,
5063,53204.067,55897.194,187362.238,296463.499,44984.077,57008.194,187362.238,289354.509,585818.008,320918
2136,20745,25439,207,46391,19267,25286,207,44760,91151,56331
6170,42214,82323,129937,254474,45989,88240,129937,264166,518640,
4618,5239,3199,2765,11203,5510,3239,2765,11514,22717,
6871,138284,237773,970283,1346340,137575,242727,970283,1350585,2696925,
7910,9410,8459,2455,20324,10651,8844,2455,21950,42274,
5464,20321,54005,85653.5,159979.5,19380,54981,85653.5,160014.5,319994,
6235,9052,3618,3306.5,15976.5,8756,3893,3306.5,15955.5,31932,
8553,114621,101336,10790.5,226747.5,132255,98390,10790.5,241435.5,468183,
3907,10631,8825,5381,24837,10232,8834,5381,24447,49284,
5163,9329,28583,46904,84816,8670,29446,46904,85020,169836,
2304,71437,54063,34479,159979,66272,54141,34479,154892,314871,
5401,6181.565,4090.064,14558.811,24830.44,3479.7,4381.109,14558.811,22419.62,47250.06,
2352,40782,68589,839,110210,35471,68759,839,105069,215279,
2217,62008,150243,4071,216322,49580,133923,4071,187574,403896,
2219,217317,351285,6018,574620,179374,255746,6018,441138,1015758,30667
2145,38338,78659,1492,118489,34895,75745,1492,112132,230621,9902
2220,84712,123629,1290,209631,111031,204086,1290,316407,526038,
4513,23,655,0,678,115,661,0,776,1454,
1215,410688,563861,37456.5,1012005.5,386437,545336,37456.5,969229.5,1981235,32759
4515,39987,37234,133.5,77354.5,6151,29591,133.5,35875.5,113230,546701
1127,1905851,4206117,231506.5,6343474.5,1948143,4195101,231506.5,6374750.5,12718225,2248019
1006,82242,45003,1746.5,128991.5,12048,37515,1746.5,51309.5,180301,26269
7835,16709,14033,1774.5,32516.5,16580,14092,1774.5,32446.5,64963,
9940,94994,62942,65023,222959,116311,62940,65023,244274,467233,
6800,184443,289212,555433,1029088,179383,283122,555433,1017938,2047026,32567
5402,1117,4929,4702.5,10748.5,819,5575,4702.5,11096.5,21845,
9620,76342,71654,79421.5,227417.5,84449,71806,79421.5,235676.5,463094,
5945,6131,4562,5425.5,16118.5,6992,4754,5425.5,17171.5,33290,
2737,117782,202794,85071,405647,127825,203498,85071,416394,822041,34483
5112,176039,78523,484331.5,738893.5,74102,56863,484331.5,615296.5,1354190,803247
5095,215851.346,282860.846,705726.748,1204438.94,167657.222,288962.74,705726.748,1162346.71,2366785.65,43839
2739,138481,647896,35316,821693,132148,643445,35316,810909,1632602,1820
2738,6544,7719,574,14837,5443,7506,574,13523,28360,
2740,12688,23881,2209.5,38778.5,12870,24347,2209.5,39426.5,78205,108
2732,12696,12499,73518.5,98713.5,12596,14712,73518.5,100826.5,199540,
5625,41630,64736,40553,146919,44786,67948,40553,153287,300206,
2450,15932,4373,432.5,20737.5,15960,4357,432.5,20749.5,41487,
8750,2598,2624,71,5293,2768,2761,71,5600,10893,
9760,67371,53770,128832,249973,66791,53780,128832,249403,499376,
1176,36344,27015,24445,87804,35488,27052,24445,86985,174789,
4574,8440,2869,9294.5,20603.5,10164,3029,9294.5,22487.5,43091,
9716,50855,42268,35958,129081,49564,42277,35958,127799,256880,
7503,896,255,115.5,1266.5,925,263,115.5,1303.5,2570,
6204,2366,110,20.5,2496.5,2135,109,20.5,2264.5,4761,
1360,37007,121322,178990.5,337319.5,34482,122024,178990.5,335496.5,672816,48352
1141,4089,4245,13.5,8347.5,5698,4290,13.5,10001.5,18349,
1018,3762,3748,25.5,7535.5,4546,3757,25.5,8328.5,15864,
2123,83215,127193,1348,211756,76341,124704,1348,202393,414149,
1282,11068,6033,2149.5,19250.5,11531,6253,2149.5,19933.5,39184,
3501,20454,49697,2133,72284,21387,48919,2133,72439,144723,
2435,741,958,432,2131,762,977,432,2171,4302,
5253,43900,213649,94323,351872,45219,217460,94323,357002,708874,
9668,3600,1324,1779,6703,4246,1343,1779,7368,14071,
2599,220041,512668,92534,825243,212760,524279,92534,829573,1654816,279414
8536,6858,14453,2087,23398,6189,14432,2087,22708,46106,
5626,19312,32639,45421.5,97372.5,16403,37393,45421.5,99217.5,196590,
1993,3955,351,2468.5,6774.5,4343,350,2468.5,7161.5,13936,
2195,56176,107762,956,164894,63664,117956,956,182576,347470,
2239,31482,43585,462.5,75529.5,24029,32526,462.5,57017.5,132547,
5130,28958,65585,105967,200510,27051,71323,105967,204341,404851,
4304,10551,5295,644,16490,11986,5298,644,17928,34418,
5254,8231,9488,19151.5,36870.5,8215,9668,19151.5,37034.5,73905,
6216,22003,51060,25214.5,98277.5,20894,51228,25214.5,97336.5,195614,
5894,7651,8183,12443,28277,8039,10178,12443,30660,58937,
6237,4686,4373,4142.5,13201.5,5273,4925,4142.5,14340.5,27542,
3018,28163,45199,42131,115493,26381,48465,42131,116977,232470,50458
5876,177891,564299,205686,947876,178075,569844,205686,953605,1901481,64034
1112,54400,69496,2737.5,126633.5,57034,69472,2737.5,129243.5,255877,
1381,2009,3671,5715.5,11395.5,2535,4126,5715.5,12376.5,23772,
6027,16682.999,6377.882,68446.504,91507.385,12335.976,6448.935,68446.504,87231.415,178738.8,
9968,8488,4557,83688.5,96733.5,9367,4559,83688.5,97614.5,194348,
5403,3094,11280,9890,24264,3402,12087,9890,25379,49643,
5693,306178,295324,238838,840340,313135,296577,238838,848550,1688890,
8346,153880,72357,8673,234910,19623,54456,8673,82752,317662,19585
8345,404961,577432,48568.5,1030961.5,489141,591802,48568.5,1129511.5,2160473,2682
3341,34876,48777,22497.5,106150.5,37459,48891,22497.5,108847.5,214998,
5530,24229,1550,8465.5,34244.5,25193,1538,8465.5,35196.5,69441,
6801,24655,114171,189446,328272,22763,121131,189446,333340,661612,
2944,23856,35409,19521.5,78786.5,21304,37829,19521.5,78654.5,157441,
5500,18286,45236,46126.5,109648.5,18358,49111,46126.5,113595.5,223244,
8496,33308,19165,4646,57119,37051,17894,4646,59591,116710,
7259,1164,986,22.5,2172.5,1333,978,22.5,2333.5,4506,
7565,1320,1603,484.5,3407.5,1674,1601,484.5,3759.5,7167,
9938,13359,9641,4389,27389,13867,9665,4389,27921,55310,
7200,2861,4160,848,7869,3280,4260,848,8388,16257,
5875,20194,26918,23560,70672,20387,27644,23560,71591,142263,
2045,378,100,906.5,1384.5,491,98,906.5,1495.5,2880,
2779,11045,27442,9339.5,47826.5,10250,28893,9339.5,48482.5,96309,
9251,261,9,0,270,251,10,0,261,531,
5552,36015.427,30025.188,29367.4765,95408.0915,44475.627,35014.146,29367.4765,108857.2495,204265.341,
6872,211494,230882,634729.5,1077105.5,188706,243894,634729.5,1067329.5,2144435,
1560,5430,13290,8213.5,26933.5,4619,15391,8213.5,28223.5,55157,
9889,29365,15212,12921,57498,33523,15233,12921,61677,119175,
8823,1664,513,0,2177,1772,512,0,2284,4461,
3809,89887,193003,44529.5,327419.5,95586,192855,44529.5,332970.5,660390,15348
9789,44732,30232,23467,98431,42589,30242,23467,96298,194729,
3449,21248,35240,6572.5,63060.5,20590,35327,6572.5,62489.5,125550,
8049,49245,96334,26457.5,172036.5,49975,96362,26457.5,172794.5,344831,111
2554,4069,3704,3284.5,11057.5,3711,3713,3284.5,10708.5,21766,
6464,66,32,56.5,154.5,78,36,56.5,170.5,325,
5268,560692,2709443,1169584,4439719,641665,2679522,1169584,4490771,8930490,749972
6810,33956.286,25040.656,80060.081,139057.023,30772.922,25312.663,80060.081,136145.666,275202.689,
2603,6661,19603,3480,29744,5516,19633,3480,28629,58373,
3230,211614,240265,83000,534879,210231,237840,83000,531071,1065950,279431
3231,600035,1084432,341066,2025533,595804,1080513,341066,2017383,4042916,701222
4012,3456,6673,2223,12352,3225,6680,2223,12128,24480,
4187,5346,6025,1459.5,12830.5,5676,6026,1459.5,13161.5,25992,
5081,17052.439,34575.651,86246.437,137874.527,30540.155,35489.651,86246.437,152276.243,290150.77,
2240,28711,51348,1725.5,81784.5,26971,51104,1725.5,79800.5,161585,
2892,14400,22132,6079.5,42611.5,12551,26080,6079.5,44710.5,87322,
5006,29291,93873,75706.5,198870.5,29252,95961,75706.5,200919.5,399790,
5886,54246,135230,197102,386578,51436,137242,197102,385780,772358,167737
8429,9047,7841,511.5,17399.5,11256,8075,511.5,19842.5,37242,
5404,120819.321,167713.371,348218.9345,636751.6265,126497.349,173658.373,348218.9345,648374.6565,1285126.283,
7740,18736,21488,623,40847,19356,16236,623,36215,77062,
2190,65693,92813,865,159371,65645,91382,865,157892,317263,
2191,26258,43181,140.5,69579.5,19940,36858,140.5,56938.5,126518,
2697,24598,33851,21939.5,80388.5,24610,35972,21939.5,82521.5,162910,
5096,29763.071,34422.347,125571.9705,189757.3885,34266.109,34784.347,125571.9705,194622.4265,384379.815,
5064,397239.666,843795.885,1161047.5665,2402083.1175,388491.64,845020.132,1161047.5665,2394559.3385,4796642.456,1383124
4715,22937,16570,4681,44188,27425,17091,4681,49197,93385,
1437,39507.087,50830.206,115155.373,205492.666,60130.18,47893.146,115155.373,223178.699,428671.365,
1438,14531.553,19749.03,41758.0265,76038.6095,20121.081,18681.555,41758.0265,80560.6625,156599.272,
6074,12843,8381,40490,61714,15956,8585,40490,65031,126745,
5687,69882,96210,152608,318700,68201,103053,152608,323862,642562,34505
4175,302,194,240,736,330,187,240,757,1493,
8050,661,217,563,1441,498,217,563,1278,2719,
8618,1862,624,27.5,2513.5,1661,622,27.5,2310.5,4824,
8051,39437,37384,35506.5,112327.5,40792,37437,35506.5,113735.5,226063,1013
9023,417,1160,812.5,2389.5,386,1155,812.5,2353.5,4743,
6812,138651,167206,327694.5,633551.5,123396,167504,327694.5,618594.5,1252146,255558
6958,18077.372,15604.035,57245.1785,90926.5855,21432.274,15837.08,57245.1785,94514.5325,185441.118,
7289,7819,14525,2679.5,25023.5,6969,16963,2679.5,26611.5,51635,346
7006,1133,1203,241,2577,1326,1443,241,3010,5587,
3623,52880,65680,1214,119774,58809,58245,1214,118268,238042,
5702,2508,4713,499.5,7720.5,2743,4755,499.5,7997.5,15718,
2222,14955,16545,4217.5,35717.5,14357,18499,4217.5,37073.5,72791,
7290,5,10,0,15,8,10,0,18,33,
2422,14458,2000,654.5,17112.5,16095,2023,654.5,18772.5,35885,
4182,908,878,532,2318,946,856,532,2334,4652,
3502,258,305,0,563,394,305,0,699,1262,
4317,1833,1418,0,3251,1841,1437,0,3278,6529,
1865,25281,27977,4429,57687,23552,28041,4429,56022,113709,
7085,2470,6755,15907.5,25132.5,2032,7059,15907.5,24998.5,50131,
5483,66322,194968,403626,664916,70791,195556,403626,669973,1334889,
8500,79649,45214,8123,132986,87627,45381,8123,141131,274117,
8565,49771,58692,1471,109934,61695,57633,1471,120799,230733,
2945,11742,18894,5370,36006,9155,20272,5370,34797,70803,
1975,4673,1331,770,6774,4740,1335,770,6845,13619,
3176,104706,132961,154704.5,392371.5,103676,142425,154704.5,400805.5,793177,
6873,11268,44138,92138,147544,11014,46197,92138,149349,296893,
2743,102,335,472.5,909.5,270,345,472.5,1087.5,1997,
2550,17642,33616,5641.5,56899.5,20343,33575,5641.5,59559.5,116459,13
2549,22836,30285,14075.5,67196.5,24708,30498,14075.5,69281.5,136478,
9767,51352,39639,35928.5,126919.5,61153,40624,35928.5,137705.5,264625,
